,team,season,travel_OPS+,no_travel_OPS+,team_OPS+,gap_OPS+,no_gap_OPS+,tz_OPS+,no_tz_OPS+,team_home_OPS+,team_away_OPS+
0,ANA,2000,125.83556247304033,109.39068190594713,111.83893373518536,104.915658506446,138.59355918028254,97.07345579323376,112.82265946291457,119.97159141778599,103.9995028473041
1,ANA,2001,96.00390391196187,93.37604642099113,93.71434101098745,97.29510486903112,95.60446316016242,124.89999740563506,91.66915860596818,98.48650168360922,89.0738157151945
2,ANA,2002,125.98782979341401,104.4094220782184,107.71066743177383,114.40914863584561,133.4609038601313,137.43892743338853,105.62138339859115,105.99585879794651,109.32804375686098
3,ANA,2003,103.34014782749765,97.00589391471044,97.84682704405961,112.5151331747995,94.17749796075145,90.67345761354142,98.37561664941126,96.82260562626067,98.8223538252115
4,ANA,2004,144.2318623150613,98.3115898916832,103.96371987571116,111.88898407811938,158.89364246777112,115.90331859839881,102.78235330371706,102.08139909084055,105.76242094258355
5,ANA,2005,128.7402978436628,95.45116011217294,99.36229113103443,85.70033763239447,144.35608550112414,130.99456671656338,96.98991189598574,98.19282179894996,100.4584624792841
6,ANA,2006,97.30763177234407,99.5458452240999,99.24657119501177,110.44158230046723,91.24578046449203,82.46476704734489,100.98907220759985,99.00625414417851,99.47816461552752
7,ANA,2007,115.5768085756618,100.42060562480133,101.72638799339131,118.60980170038546,114.88881581236159,94.45899230033095,102.58760478274213,115.38159436640862,88.04471804213175
8,ANA,2008,87.95146453501874,101.96925550708826,100.19348015763453,,91.82646947649049,109.04141836455281,99.21189558535008,103.67997491897034,96.87827119281435
9,ANA,2009,111.48557502220733,111.93620966522357,111.86057629091586,90.56811926216972,118.77083454698018,137.54068576933292,109.62495266859271,116.11969207508679,107.85191959380667
10,ANA,2010,73.81977724284769,97.01467128225862,94.14725372968644,86.6045565074511,70.4425874706121,81.00754675061506,95.49485176657508,91.77141256374641,96.46524162048182
11,ANA,2011,114.428157647734,97.05976921746799,99.09427928034292,87.5707252603961,121.316997178074,84.31321342910869,99.86120104070524,92.47998109704692,105.35745066529323
12,ANA,2012,116.17509871449356,110.6859136523545,111.53714802298218,97.41440540719238,126.3487170909622,123.58882487850656,110.37002895301376,110.0906973012183,112.85185713190913
13,ANA,2013,113.65787551199418,107.48060795979701,108.31484580174661,124.71304076327496,106.93119478596928,132.46908160371405,105.62554689850057,110.89644052448895,105.83353859329634
14,ANA,2014,105.72463527882019,108.67535451986087,108.38911906821474,87.09655231452653,113.0536129983466,131.05703690266157,106.2274243448047,102.82385394614573,113.75947809470159
15,ANA,2015,122.95878884011225,91.06662076034029,94.92857262165488,135.60170927888316,115.93562011980963,108.44874358050762,93.78235860321769,100.63741543922133,89.47879906678568
16,ANA,2016,82.17851897897408,98.72600438491597,96.35061361231286,58.159538947321025,92.79667865999089,88.14017801806129,96.94767488444013,95.11503015439781,97.52240444252011
17,ANA,2017,91.85418515791508,90.5023068065119,90.67470260588001,80.56496727282192,99.21737074807461,88.78477431001724,90.78564473964819,95.01814762217052,86.5010110931332
18,ANA,2018,96.8971096963469,99.62731135959841,99.28300673652923,104.60827678271221,92.92387882984094,101.06637911617113,99.32260966638049,100.52136772678625,98.11136012540942
19,ANA,2019,92.27314731427168,98.48872003854238,97.70100046089496,92.2188070249644,91.67063930490131,94.63540340826944,97.91833275532942,102.54550958535074,92.96547744158377
20,ANA,2020,125.08561558982474,105.31211674701768,107.50336934821583,144.35785707943566,118.66605558443402,120.46078440965937,106.74609383967302,125.39053514023442,88.49725663444454
21,ANA,2021,87.79219878164972,100.06912529017727,98.3253415172919,71.64041243952362,94.7680699284737,71.90410661964792,100.25827517622207,107.23859600490448,89.53862052025951
22,ANA,2022,74.12069819664491,99.47920939816024,95.55841607197758,62.10765485035124,88.63432139516898,81.84404859439778,96.52222613976265,106.46374156683413,84.87704890129493
23,ANA,2023,84.94949517859824,105.64163337808559,102.26588159503147,79.84436722795922,87.89576478711443,83.86240061794565,103.5367553102569,101.57167012964119,102.921403631065
24,ARI,2000,95.15111065601964,95.47301899675689,95.4082642298048,85.3373283264405,101.61437982145904,106.92498569367146,94.50459365330852,102.70300988781989,88.24787717711358
25,ARI,2001,86.78009108016597,108.82986467947458,105.58254793189974,91.86498809248911,84.66269901801309,97.11019002475614,106.67060561109203,112.97940231279706,98.62013712430686
26,ARI,2002,94.93684090429156,105.83168977621594,104.33108860684781,51.83435177220086,119.71195740751664,97.02516463658002,105.26332038022818,117.04809521239898,91.58989751963786
27,ARI,2003,110.25109502528645,94.91293073332128,97.14636891713839,95.08922799711583,116.42310803623613,114.6678488338305,94.9584015509235,107.54127720822595,87.02992492001309
28,ARI,2004,79.39536665217256,88.14132709225966,86.90325487676822,76.91932870924605,80.48095908994246,91.11157249246283,86.41910285836403,98.71673957281541,75.26242585182273
29,ARI,2005,104.05565731860608,97.77633297492336,98.56194547553952,90.7710317768279,107.97696348062446,102.14958732087939,98.15237760232294,99.88912573446757,97.29583682210257
30,ARI,2006,102.32304441720252,96.25275013796912,96.98199557952938,103.70861760782124,101.95155573377805,87.79403477146177,97.85184043749835,110.17738880936889,84.12410149031588
31,ARI,2007,87.94145635521721,94.32543970131499,93.23980321282556,110.63068139416666,80.86341346051044,73.43626022363945,96.13305450726574,103.84219759406857,83.03981556589801
32,ARI,2008,114.16706631754296,93.37298070309217,96.19828471913037,96.7373396810256,126.24860953648778,109.31888799194671,94.77281403118987,110.32728203140954,82.52986833553528
